idx,poolId,orphanRate,reorgMax,reorgP99,reorgRate,selfShares,gamma,diffDiverg,P0_strategy,P0_HPP,kThresh,retortPolicy
0,P1,0.0667,1.0000,1.0000,-3357903.0000,-0.1889,0.0000,0.9787,SS0,0.3,0,0
0,P2,0.0667,1.0000,1.0000,-3357903.0000,-0.1889,0.0833,0.9787,SS0,0.3,0,0
0,P3,0.0667,1.0000,1.0000,-3357903.0000,-0.1889,0.0000,0.9787,SS0,0.3,0,0
1,P1,0.2051,3.0000,3.0000,-3357897.0000,-0.0179,0.0000,0.9748,SS0,0.3,0,1
1,P2,0.2051,3.0000,3.0000,-3357897.0000,-0.0179,0.0500,0.9748,SS0,0.3,0,1
1,P3,0.2051,3.0000,3.0000,-3357897.0000,-0.0179,0.0150,0.9748,SS0,0.3,0,1
2,P1,0.1667,4.0000,4.0000,-3357906.0000,-0.0500,0.0000,0.9832,SS0,0.3,1,0
2,P2,0.1667,4.0000,4.0000,-3357906.0000,-0.0500,0.0556,0.9832,SS0,0.3,1,0
2,P3,0.1667,4.0000,4.0000,-3357906.0000,-0.0500,0.0167,0.9832,SS0,0.3,1,0
3,P1,0.2727,8.0000,8.0000,-3357902.0000,0.0409,0.0000,0.9811,SS0,0.3,1,1
3,P2,0.2727,8.0000,8.0000,-3357902.0000,0.0409,0.0385,0.9811,SS0,0.3,1,1
3,P3,0.2727,4.0000,4.0000,-3357902.0000,0.0409,0.0125,0.9811,SS0,0.3,1,1
4,P1,0.1250,3.0000,3.0000,-3357898.0000,-0.2000,0.0000,0.9751,SS0,0.4,0,0
4,P2,0.1250,3.0000,3.0000,-3357898.0000,-0.2000,0.1250,0.9751,SS0,0.4,0,0
4,P3,0.1250,3.0000,3.0000,-3357898.0000,-0.2000,0.0000,0.9751,SS0,0.4,0,0
5,P1,0.0811,1.0000,1.0000,-3357895.0000,-0.2378,0.0000,0.9731,SS0,0.4,0,1
5,P2,0.0811,1.0000,1.0000,-3357895.0000,-0.2378,0.0588,0.9731,SS0,0.4,0,1
5,P3,0.0811,1.0000,1.0000,-3357895.0000,-0.2378,0.0088,0.9731,SS0,0.4,0,1
6,P1,0.1818,3.0000,3.0000,-3357902.0000,-0.0818,0.0000,0.9811,SS0,0.4,1,0
6,P2,0.1818,3.0000,3.0000,-3357902.0000,-0.0818,0.0500,0.9811,SS0,0.4,1,0
6,P3,0.1818,3.0000,3.0000,-3357902.0000,-0.0818,0.0000,0.9811,SS0,0.4,1,0
7,P1,0.2444,3.0000,3.0000,-3357903.0000,0.0444,0.0000,0.9787,SS0,0.4,1,1
7,P2,0.2444,3.0000,3.0000,-3357903.0000,0.0444,0.0385,0.9787,SS0,0.4,1,1
7,P3,0.2444,3.0000,3.0000,-3357903.0000,0.0444,0.0115,0.9787,SS0,0.4,1,1
